ctime	dtime	ttime	wait
445	450	895	450
436	462	898	462
461	453	914	453
436	463	899	462
462	459	921	459
435	464	900	464
460	447	907	447
437	463	901	463
460	452	912	451
436	463	898	462
462	448	910	448
438	464	902	464
461	465	926	464
443	477	920	477
458	484	942	484
477	522	999	522
465	442	906	441
471	443	913	442
460	444	904	443
461	441	903	441
468	438	906	438
446	462	909	462
460	445	905	445
468	440	908	440
460	442	902	442
460	463	923	463
463	440	903	440
451	464	914	463
461	442	903	442
449	462	911	462
450	463	913	462
462	442	904	441
460	441	900	440
454	461	915	461
460	463	923	463
447	440	887	440
459	465	924	465
448	439	887	438
460	464	923	464
445	437	882	437
459	462	921	462
446	438	884	438
458	464	922	464
449	438	887	438
463	468	931	467
470	456	926	456
460	474	934	474
449	483	933	483
460	464	925	464
444	470	914	470
435	463	898	463
441	472	913	471
435	461	896	460
444	473	917	472
433	461	894	461
440	469	909	469
434	463	898	463
440	475	915	475
470	471	940	470
462	450	912	450
449	473	922	473
460	452	911	451
450	451	901	450
460	465	925	464
460	465	925	465
468	469	937	469
467	437	904	436
465	448	913	448
463	439	902	438
459	446	904	445
467	440	908	440
467	144	611	144
143	144	287	143
143	591	735	591
448	462	910	462
456	460	916	459
443	460	903	459
455	460	915	460
143	144	287	144
143	145	288	145
597	454	1052	454
457	464	921	464
457	470	926	469
458	459	917	458
142	647	789	647
143	145	288	145
456	148	604	148
448	458	906	457
445	446	891	445
444	449	893	449
466	453	919	453
446	470	916	470
456	459	916	459
455	447	901	446
456	458	915	458
453	457	909	456
456	454	910	454
464	460	923	459
446	479	925	479
462	467	929	467
462	451	914	451
469	492	961	491
477	461	938	460
438	462	900	462
452	461	913	460
466	455	921	454
459	466	925	466
464	458	923	458
460	462	923	462
464	461	925	461
464	469	933	469
478	469	947	468
461	475	936	475
467	478	945	477
476	469	944	468
464	468	932	468
455	466	921	466
472	478	950	478
469	463	932	463
458	465	923	465
462	466	928	465
460	460	920	460
471	466	936	465
460	458	918	458
465	464	930	464
465	470	935	469
477	474	951	474
461	454	915	453
471	145	616	145
501	4096	4597	4095
458	457	915	457
451	466	917	466
466	460	926	460
455	466	921	465
467	468	935	467
453	466	919	465
462	529	991	528
460	453	914	453
459	464	923	464
455	454	910	454
460	463	923	463
455	454	910	454
459	463	923	463
460	452	912	451
462	472	934	472
454	452	906	452
389	470	859	470
445	463	907	462
461	464	925	464
452	462	914	462
461	469	930	469
457	439	895	438
453	475	929	475
454	438	892	438
454	471	925	471
454	440	894	440
452	473	925	473
459	473	932	473
465	475	940	474
437	476	913	475
466	457	924	457
462	474	935	473
466	498	964	498
473	462	935	462
458	461	919	461
451	467	918	467
457	479	936	479
463	454	917	454
467	469	936	468
475	475	950	475
462	471	933	470
478	469	947	469
466	453	919	453
452	455	907	455
457	456	913	456
463	466	929	466
154	144	298	144
165	144	309	144
189	144	333	144
142	158	301	158
143	166	308	165
200	172	372	172
144	179	323	179
153	171	324	171
167	175	341	174
176	171	346	170
188	204	393	204
206	202	407	201
215	230	444	229
245	240	485	240
259	278	537	277
268	274	542	274
274	298	572	297
329	350	678	349
416	473	888	472
451	446	897	446
445	453	898	453
464	468	932	467
443	459	902	459
462	469	931	469
476	471	948	471
461	494	956	494
485	461	947	461
492	477	970	477
458	450	908	450
511	471	982	471
454	454	908	454
462	452	914	452
471	452	923	452
460	463	923	463
455	463	918	462
452	463	915	463
456	472	928	472
463	464	927	464
463	458	921	458
432	456	888	456
467	458	925	457
433	460	893	460
464	457	921	457
446	470	916	470
443	459	901	458
476	474	950	474
451	467	918	467
452	452	904	452
456	442	898	442
476	452	929	452
454	454	907	453
470	461	931	460
479	459	937	458
496	491	987	491
500	477	977	477
450	478	927	477
469	462	930	461
475	453	928	452
438	452	890	451
458	473	931	472
440	449	889	448
462	475	937	475
436	475	911	475
456	448	904	448
467	450	917	449
454	446	901	446
468	450	919	450
458	449	908	449
468	457	925	456
458	448	906	448
447	467	914	466
465	445	910	445
443	468	911	468
473	474	947	474
459	462	921	462
454	470	925	470
460	463	924	463
448	453	900	452
458	458	916	458
462	492	954	491
