n1	n2	confidence	critical_value
256	236	0.95	0.1211366355419159
256	237	0.95	0.12100524455308914
256	238	0.95	0.1208748146891594
256	239	0.95	0.12074532359838486
256	240	0.95	0.12061677128076553
256	241	0.95	0.12048915028572083
256	242	0.95	0.12036244571208954
256	243	0.95	0.12023664265871048
256	244	0.95	0.12011173367500305
256	245	0.95	0.11998771131038666
256	246	0.95	0.1198645681142807
256	247	0.95	0.11974228918552399
256	248	0.95	0.11962087452411652
256	249	0.95	0.1195003017783165
256	250	0.95	0.11938057094812393
256	251	0.95	0.11926166713237762
256	252	0.95	0.11914359033107758
256	253	0.95	0.11902632564306259
256	254	0.95	0.11890986561775208
256	255	0.95	0.11879420280456543
256	256	0.95	0.11867932230234146
