ctime	dtime	ttime	wait
459	461	920	461
453	461	914	461
478	472	950	471
470	464	934	464
461	446	906	445
466	464	931	464
450	467	917	467
456	466	922	465
460	473	933	473
451	465	916	465
457	472	929	472
454	462	916	462
460	469	929	469
471	480	951	479
462	446	908	446
471	471	943	471
462	458	919	457
465	462	927	462
465	456	922	456
443	465	908	464
460	466	926	465
452	462	914	462
466	458	924	457
445	465	910	465
462	459	921	459
481	462	943	461
461	460	921	460
466	469	935	469
442	459	902	459
468	477	945	476
475	474	949	474
469	476	945	476
465	467	932	466
459	502	961	502
467	487	954	486
476	464	940	464
542	591	1133	589
504	518	1022	517
468	465	933	465
465	463	927	463
467	476	943	476
465	480	945	480
457	465	921	464
466	458	925	458
439	466	905	466
475	459	934	458
481	482	962	481
461	465	925	464
473	383	856	383
516	469	985	469
463	474	937	473
459	462	921	461
473	472	944	471
474	464	938	464
463	466	929	466
461	478	939	478
470	466	936	466
476	464	940	464
458	477	935	477
450	479	930	479
458	458	917	458
461	473	934	472
465	473	938	473
463	469	932	469
470	448	918	447
459	446	905	446
472	451	923	450
461	465	926	465
477	447	925	447
467	462	928	461
522	569	1090	568
588	580	1168	580
544	545	1089	545
579	527	1106	527
594	505	1099	505
494	498	991	498
488	490	978	489
465	454	920	454
458	473	930	472
451	480	931	479
492	491	983	491
464	491	955	491
477	474	950	473
459	457	916	457
481	472	953	472
475	479	954	479
480	476	956	476
483	531	1014	531
482	502	985	502
478	541	1020	541
534	584	1118	584
578	573	1151	572
555	556	1111	555
579	576	1154	576
580	526	1106	525
550	508	1057	507
511	550	1061	550
483	500	983	500
485	488	972	487
508	479	987	479
466	463	929	462
459	459	918	458
486	482	968	481
440	458	898	457
472	460	932	459
453	470	923	470
460	472	931	471
447	465	912	464
450	469	919	469
470	457	927	457
449	461	910	461
451	471	923	471
466	456	922	455
452	488	940	487
525	495	1020	495
523	497	1021	497
475	455	930	454
469	458	927	458
452	463	915	463
457	473	929	472
452	465	917	465
457	464	921	463
455	456	911	454
466	451	916	450
505	470	975	469
469	459	928	458
458	464	922	464
454	440	894	440
460	471	931	471
443	443	886	443
448	448	896	448
468	453	921	453
449	437	886	437
452	452	904	451
451	462	913	461
471	443	914	443
466	473	939	473
450	466	915	466
441	474	915	473
442	433	875	432
449	472	921	472
463	443	906	442
466	469	935	469
464	473	937	473
453	465	919	465
459	459	918	459
463	459	922	459
453	457	910	457
462	462	924	462
471	447	917	446
458	483	941	483
461	475	937	475
462	432	894	432
446	459	905	459
446	460	906	460
452	459	911	459
457	459	916	459
452	460	912	460
446	471	917	471
445	470	915	470
447	467	914	467
467	471	938	470
435	464	900	464
463	459	922	459
459	462	921	462
470	478	948	478
444	468	912	468
454	463	916	463
459	464	923	464
448	462	910	462
446	461	908	461
451	461	911	460
457	454	910	453
450	457	907	456
446	451	897	451
455	457	912	457
455	450	905	449
461	479	940	479
457	466	923	466
447	453	900	452
434	460	894	460
461	456	917	456
490	483	973	483
448	456	904	456
461	466	927	466
459	470	930	470
449	463	912	463
467	464	931	464
461	472	933	471
460	459	919	459
448	468	917	468
450	468	918	468
460	478	939	478
462	463	925	463
456	477	932	476
467	470	937	469
457	466	922	466
460	468	928	468
464	471	935	471
440	450	891	450
460	476	936	476
464	465	930	465
465	464	929	464
469	474	942	473
569	539	1108	539
519	535	1054	534
484	482	966	481
535	483	1018	483
453	450	904	450
581	707	1288	707
749	577	1326	576
498	488	986	487
496	500	995	499
489	508	996	507
503	488	991	487
465	488	953	488
504	510	1013	509
499	507	1006	507
473	500	973	500
501	504	1005	504
488	503	991	503
507	512	1019	512
510	525	1035	523
519	503	1023	503
496	498	994	498
500	511	1010	510
515	524	1039	523
516	523	1039	523
500	500	1001	500
494	496	990	496
522	512	1033	512
512	502	1013	501
520	492	1012	492
501	498	999	497
492	496	989	496
490	518	1008	518
510	511	1021	511
507	518	1025	518
507	499	1006	498
483	485	968	484
493	506	999	506
512	500	1012	500
515	519	1034	519
519	554	1073	553
504	509	1013	506
517	506	1023	506
515	551	1067	551
534	517	1051	516
462	512	974	512
537	616	1153	616
647	666	1312	665
732	554	1286	553
474	470	944	470
450	467	917	467
466	508	974	507
450	471	922	471
