ctime	dtime	ttime	wait
140	144	284	143
142	147	289	146
143	144	287	144
143	145	288	145
142	144	287	144
142	145	287	144
143	146	289	146
142	145	287	145
142	146	288	145
143	145	288	144
143	146	289	146
142	143	286	143
143	144	287	144
143	148	291	148
142	649	791	648
143	144	286	143
464	477	940	476
142	146	288	146
143	148	291	148
147	144	291	144
172	144	315	143
142	144	287	144
142	146	288	145
147	144	292	144
142	144	287	144
143	144	287	144
143	144	287	144
144	144	288	144
142	146	288	144
143	146	289	145
158	144	302	144
142	144	286	144
142	144	287	144
142	145	287	144
143	145	287	145
142	144	286	144
143	144	286	143
143	144	287	144
142	148	291	148
143	144	287	144
143	144	287	144
143	145	288	144
142	145	287	144
143	145	288	145
143	146	289	146
141	144	285	144
143	144	287	144
143	145	288	144
143	144	287	143
143	144	287	144
143	144	287	144
143	145	287	144
142	144	287	144
142	145	287	144
142	147	289	147
142	144	286	144
143	145	287	144
143	145	288	144
675	467	1143	467
142	143	286	143
143	612	755	612
444	186	630	186
446	462	908	462
462	464	925	463
450	471	921	471
457	471	928	471
465	484	949	484
461	465	926	465
472	464	937	464
438	461	899	461
456	469	925	469
462	460	923	460
463	494	957	494
458	469	927	469
453	462	915	461
461	468	929	468
468	465	933	465
462	465	926	464
470	469	939	469
502	506	1008	506
458	469	927	469
457	478	935	477
461	473	934	472
471	464	934	463
477	476	953	476
452	461	913	461
450	457	907	456
460	453	913	453
468	447	915	447
456	463	920	463
462	448	910	448
454	448	902	447
478	450	928	450
454	447	901	446
453	477	930	476
455	445	900	445
453	477	930	477
458	447	904	446
454	445	899	445
464	460	923	459
456	474	931	474
455	451	906	451
454	484	938	484
462	450	912	449
476	479	955	478
456	457	913	457
457	465	922	464
456	456	912	456
459	464	923	464
456	456	912	455
459	469	929	469
449	455	905	455
457	470	927	470
448	455	902	455
455	469	924	469
459	473	933	473
455	479	934	479
452	473	925	473
470	474	944	474
468	460	928	459
467	468	935	468
476	481	956	480
460	465	924	464
455	477	932	477
143	620	763	619
459	464	923	463
458	453	911	453
449	465	914	464
461	459	920	459
448	466	914	465
469	464	934	464
465	463	929	463
462	468	930	468
471	467	937	467
461	470	931	470
457	478	935	477
459	482	941	481
461	473	935	473
461	475	935	474
465	482	947	482
462	479	940	478
465	476	941	476
485	505	990	505
464	475	939	474
478	465	944	465
470	476	946	475
475	462	936	461
449	471	920	471
472	465	938	464
464	455	919	454
452	466	919	466
464	455	919	455
450	465	915	465
464	455	919	455
448	464	912	464
464	454	918	453
450	464	913	463
464	453	917	453
475	464	939	463
465	470	936	470
463	459	923	459
464	473	938	473
463	489	952	489
448	454	902	454
465	457	923	457
444	457	901	456
468	454	923	454
450	461	911	461
463	445	908	445
467	457	924	456
470	441	911	441
468	455	922	454
446	462	909	462
462	457	919	457
459	456	915	456
443	455	897	454
445	473	918	472
462	457	919	457
467	460	927	460
458	465	923	465
465	463	928	462
460	455	915	455
461	462	923	461
460	461	921	460
464	464	928	464
455	458	913	458
464	472	937	472
471	459	930	458
461	455	916	455
461	467	928	467
457	316	774	316
465	458	923	458
451	469	920	469
455	401	856	400
470	462	933	462
475	468	943	468
457	383	841	383
505	455	959	455
470	477	947	477
472	470	942	470
473	463	936	463
474	471	945	471
480	471	951	470
463	469	932	469
448	465	913	465
457	477	933	476
450	458	909	458
446	471	916	471
455	458	913	458
445	471	916	471
455	453	908	453
446	462	908	461
455	457	912	457
445	463	908	463
447	448	895	448
461	481	942	481
458	459	917	458
462	455	917	455
441	460	900	459
461	455	916	454
442	459	901	459
463	449	912	448
464	458	922	457
465	441	906	440
458	461	919	460
465	447	912	447
457	461	919	461
143	631	774	631
470	145	615	144
561	443	1004	443
142	616	759	616
446	460	906	460
457	459	916	459
443	459	902	459
459	461	919	461
448	465	912	464
456	459	915	459
462	456	918	455
456	465	921	465
451	455	906	454
464	487	952	487
502	522	1025	522
456	472	928	472
452	464	916	464
451	464	915	464
453	457	910	457
185	143	329	143
143	149	292	148
708	451	1159	450
458	460	918	460
457	448	905	448
456	462	918	461
453	358	811	358
142	144	286	144
143	700	843	700
446	465	912	465
